2026-09-06 23:54:01,863 | INFO | hr_assistant.evaluation | Creating dataset 'hr-policy-qna' with 10 example(s)
2026-09-06 23:54:15,291 | INFO | hr_assistant.pipeline | Building the HR assistant
2026-09-06 23:54:15,292 | INFO | hr_assistant.tracing | LangSmith tracing ENABLED - project 'hr_policy_assistant', traces at https://smith.langchain.com
2026-09-06 23:54:19,788 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/exists "HTTP/1.1 200 OK"
2026-09-06 23:54:19,789 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 23:54:19,795 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-09-06 23:54:19,796 | INFO | hr_assistant.vector_store | Connecting to existing Qdrant collection 'hr_policy'
2026-09-06 23:54:19,797 | INFO | hr_assistant.embeedings | Initializing embedding LLM 'jina-embeddings-v2-base-en' 
2026-09-06 23:54:23,252 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy "HTTP/1.1 200 OK"
2026-09-06 23:54:24,068 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 23:54:34,411 | INFO | hr_assistant.vector_store | Creating retriever with top_k = 3
2026-09-06 23:54:34,416 | INFO | hr_assistant.llm | Intiliazing the LLM via portkey
2026-09-06 23:54:34,416 | INFO | hr_assistant.gateway | Routing LLM calls through Portkey (provider=@hrpolicy)
2026-09-06 23:54:36,694 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-09-06 23:54:36,756 | INFO | hr_assistant.agent | HR agent is ready
2026-09-06 23:54:36,756 | INFO | hr_assistant.pipeline | HR assistant is ready to take the question
2026-09-06 23:54:36,756 | INFO | hr_assistant.vector_store | Connecting to existing Qdrant collection 'hr_policy'
2026-09-06 23:54:36,757 | INFO | hr_assistant.embeedings | Initializing embedding LLM 'jina-embeddings-v2-base-en' 
2026-09-06 23:54:41,299 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-06 23:54:41,299 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy "HTTP/1.1 200 OK"
2026-09-06 23:54:56,319 | INFO | hr_assistant.vector_store | Creating retriever with top_k = 3
2026-09-06 23:54:56,322 | INFO | hr_assistant.evaluation | Running evaluation against dataset 'hr-policy-qna'
2026-09-06 23:55:06,754 | INFO | hr_assistant.pipeline | User question: How many days of unused annual leave can be carried forward?
2026-09-06 23:55:13,121 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 23:55:20,396 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 23:55:20,439 | INFO | hr_assistant.tools | search_hr_policy called with query : unused annual leave can be carried forward days
2026-09-06 23:55:37,391 | INFO | httpx | HTTP Request: POST https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/points/query "HTTP/1.1 200 OK"
2026-09-06 23:55:37,397 | INFO | hr_assistant.tools | Founnd 3 matching chunks (s)
2026-09-06 23:55:45,787 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 23:55:45,801 | INFO | hr_assistant.pipeline | Final answer: Unused annual leave can be carried forward to the next year, up to a maximum of **5 days**.
2026-09-06 23:55:50,107 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 23:56:01,982 | INFO | httpx | HTTP Request: POST https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/points/query "HTTP/1.1 200 OK"
2026-09-06 23:56:07,914 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 23:56:10,373 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 23:56:10,401 | INFO | hr_assistant.pipeline | User question: How many days of paid annual leave do I get per year?
