2026-09-08 15:11:28,780 | INFO | hr_assistant.evaluation | Dataset 'hr-policy-qna' already exists, reusing it
2026-09-08 15:11:29,575 | INFO | hr_assistant.pipeline | Building the HR assistant
2026-09-08 15:11:29,576 | INFO | hr_assistant.tracing | LangSmith tracing ENABLED - project 'hr_policy_assistant', traces at https://smith.langchain.com
2026-09-08 15:11:32,258 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/exists "HTTP/1.1 200 OK"
2026-09-08 15:11:32,259 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-08 15:11:32,265 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-09-08 15:11:32,266 | INFO | hr_assistant.vector_store | Connecting to existing Qdrant collection 'hr_policy'
2026-09-08 15:11:32,267 | INFO | hr_assistant.embeedings | Initializing embedding LLM 'jina-embeddings-v2-base-en' 
2026-09-08 15:11:35,105 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy "HTTP/1.1 200 OK"
2026-09-08 15:11:35,515 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-08 15:11:42,691 | INFO | hr_assistant.vector_store | Creating retriever with top_k = 3
2026-09-08 15:11:42,713 | INFO | hr_assistant.llm | Intiliazing the LLM via portkey
2026-09-08 15:11:42,714 | INFO | hr_assistant.gateway | Routing LLM calls through Portkey (provider=@hrpolicy)
2026-09-08 15:11:44,844 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-09-08 15:11:44,901 | INFO | hr_assistant.agent | HR agent is ready
2026-09-08 15:11:44,902 | INFO | hr_assistant.pipeline | HR assistant is ready to take the question
2026-09-08 15:11:44,902 | INFO | hr_assistant.vector_store | Connecting to existing Qdrant collection 'hr_policy'
2026-09-08 15:11:44,903 | INFO | hr_assistant.embeedings | Initializing embedding LLM 'jina-embeddings-v2-base-en' 
2026-09-08 15:11:48,007 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy "HTTP/1.1 200 OK"
2026-09-08 15:11:48,021 | INFO | httpx | HTTP Request: GET https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-08 15:11:50,886 | INFO | hr_assistant.vector_store | Creating retriever with top_k = 3
2026-09-08 15:11:50,889 | INFO | hr_assistant.evaluation | Running evaluation against dataset 'hr-policy-qna'
2026-09-08 15:11:55,946 | INFO | hr_assistant.pipeline | User question: What is the policy regarding storing Tier 4 data on local developer drives?
2026-09-08 15:11:58,562 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-08 15:12:01,832 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
